Tactic,Technique #,Technique Name,Test #,Test Name,Test GUID,Executor Name
defense-evasion,T1146,Clear Command History,4,Clear Bash history (ln dev/null),65e8caa0-cc76-450a-929c-9a89ff16942b,sh
defense-evasion,T1146,Clear Command History,5,Clear Bash history (truncate),d3987ae0-f3be-4931-a2bf-34546d50db86,sh
defense-evasion,T1146,Clear Command History,6,Clear history of a bunch of shells,28e4676f-3062-4449-8bf6-25c668d51205,sh
defense-evasion,T1090,Connection Proxy,1,Connection Proxy,fff549e2-d6c9-4a9f-9a1e-06e5008bc34e,sh
defense-evasion,T1089,Disabling Security Tools,1,Disable iptables firewall,2f07e566-b61a-4bc1-b9f2-52e055b49c42,sh
defense-evasion,T1089,Disabling Security Tools,2,Disable syslog,66b14b38-82ff-4382-a36d-188866bda558,sh
defense-evasion,T1089,Disabling Security Tools,3,Disable Cb Response,94930d61-4065-4288-b388-cffd04f18a1f,sh
defense-evasion,T1089,Disabling Security Tools,4,Disable SELinux,1afb3484-8cf3-4482-a460-61c8f5d05410,sh
defense-evasion,T1089,Disabling Security Tools,5,Stop Crowdstrike Falcon on Linux,bbf2129e-5c39-4357-9f8e-9e2cdba6cfbb,sh
defense-evasion,T1107,File Deletion,1,Delete a single file - Linux/macOS,882269ea-8683-4902-837a-3a19d657e9cc,sh
defense-evasion,T1107,File Deletion,2,Delete an entire folder - Linux/macOS,1519522d-c28b-432e-953b-2bc196830476,sh
defense-evasion,T1107,File Deletion,3,Overwrite and delete a file with shred,7f5709bc-1f8a-4cf6-8130-82adf0bcd3cb,sh
defense-evasion,T1107,File Deletion,8,Delete Filesystem - Linux,e0c9c090-0914-4920-91fa-aa9adf483a08,bash
defense-evasion,T1222,File and Directory Permissions Modification,4,chmod - Change file or folder mode (numeric mode),4d12f4c8-4e28-4e88-9e81-2d836220903a,bash
defense-evasion,T1222,File and Directory Permissions Modification,5,chmod - Change file or folder mode (symbolic mode),5034b422-2dbf-4bc8-9fc9-8e1140ba8610,bash
defense-evasion,T1222,File and Directory Permissions Modification,6,chmod - Change file or folder mode (numeric mode) recursively,9c3c91b7-01be-4d25-926c-4161fac0b616,bash
defense-evasion,T1222,File and Directory Permissions Modification,7,chmod - Change file or folder mode (symbolic mode) recursively,4852ff24-e779-4f45-88ea-6f649ebcd8f3,bash
defense-evasion,T1222,File and Directory Permissions Modification,8,chown - Change file or folder ownership and group,2da3b4fd-f48d-467f-b26a-2a096d8d5486,bash
defense-evasion,T1222,File and Directory Permissions Modification,9,chown - Change file or folder ownership and group recursively,faa41721-e7e9-450e-bfb9-52c0361e59bf,bash
defense-evasion,T1222,File and Directory Permissions Modification,10,chown - Change file or folder mode ownership only,4b4a1928-e386-4612-9a22-40c87636449b,bash
defense-evasion,T1222,File and Directory Permissions Modification,11,chown - Change file or folder ownership recursively,1e2a577a-a41b-4f70-8985-e1a8e5b65b23,bash
defense-evasion,T1222,File and Directory Permissions Modification,12,chattr - Remove immutable file attribute,0b2c20a6-d510-411c-b1c3-45699e4c07ac,sh
defense-evasion,T1148,HISTCONTROL,1,Disable history collection,f56c2cae-a908-4a32-8e39-cd90f53739da,sh
defense-evasion,T1148,HISTCONTROL,2,Mac HISTCONTROL,190b9165-b1fe-42b4-ae55-0710e0aebf94,manual
defense-evasion,T1158,Hidden Files and Directories,1,Create a hidden file in a hidden directory,252ebeb8-09d5-4278-9c8b-8bf1893ee432,sh
defense-evasion,T1070,Indicator Removal on Host,3,rm -rf,f0ffab8b-4203-4c51-9227-8dce3c0a843a,sh
defense-evasion,T1070,Indicator Removal on Host,4,Overwrite Linux Mail Spool,d3177235-2c77-4033-80a5-0db2b6aaff0e,bash
defense-evasion,T1070,Indicator Removal on Host,5,Overwrite Linux Log,a1db17cd-b8a0-4d55-a60c-a8b2b200e7ed,bash
defense-evasion,T1130,Install Root Certificate,1,Install root CA on CentOS/RHEL,435a02d8-d3ba-4f22-bd59-5337b1800c4e,sh
defense-evasion,T1130,Install Root Certificate,2,Install root CA on Debian/Ubuntu,d8cbff42-0d4e-468e-b63d-024efdef3406,sh
defense-evasion,T1036,Masquerading,2,Masquerading as Linux crond process.,137e8108-714c-4013-87d8-62669c94470b,sh
defense-evasion,T1027,Obfuscated Files or Information,1,Decode base64 Data into Script,440c8dfd-7eda-4735-a454-679660cf49ab,sh
defense-evasion,T1055,Process Injection,2,Shared Library Injection via /etc/ld.so.preload,30d797f6-0297-450a-91af-77306c984587,bash
defense-evasion,T1055,Process Injection,3,Shared Library Injection via LD_PRELOAD,61264175-b1aa-4696-b7ba-5eb68ff87304,bash
defense-evasion,T1014,Rootkit,1,Loadable Kernel Module based Rootkit,29177778-45b6-400c-89cd-6c67287eb101,sh
defense-evasion,T1014,Rootkit,2,Loadable Kernel Module based Rootkit,c439ea6c-dd5a-4d3d-b35d-3abe427a7ff1,sh
defense-evasion,T1064,Scripting,1,Create and Execute Bash Shell Script,35195b07-f118-4dfb-baf3-55f811182811,sh
defense-evasion,T1099,Timestomp,1,Set a file's access timestamp,532263e3-d39b-4fc8-bfc6-63cfd0f4bfa0,sh
defense-evasion,T1099,Timestomp,2,Set a file's modification timestamp,53811a38-fcce-4faf-b198-5b02d20870c7,sh
defense-evasion,T1099,Timestomp,3,Set a file's creation timestamp,d19a37e0-df36-4625-a2eb-97753584ba06,sh
defense-evasion,T1099,Timestomp,4,Modify file timestamps using reference file,da6425e3-4ed6-452f-8b85-4cef2a37633c,sh
lateral-movement,T1105,Remote File Copy,1,rsync remote file copy (push),5f354c24-41dd-4bb0-81dd-50b2063f600f,bash
lateral-movement,T1105,Remote File Copy,2,rsync remote file copy (pull),98a00afe-cbf1-4f1b-94d5-c278365fa5eb,bash
lateral-movement,T1105,Remote File Copy,3,scp remote file copy (push),b482f00e-8fec-4c63-a966-f3ccbbd4484a,bash
lateral-movement,T1105,Remote File Copy,4,scp remote file copy (pull),236e8b07-ba27-4ce2-bccb-61a8f03de0da,bash
lateral-movement,T1105,Remote File Copy,5,sftp remote file copy (push),46d0bb1b-8962-490e-b1c9-93de0161a643,bash
lateral-movement,T1105,Remote File Copy,6,sftp remote file copy (pull),3ff16771-cdd1-4c3d-962f-2727d99c7746,bash
collection,T1074,Data Staged,2,Stage data from Discovery.sh,7df23290-e35e-466a-a4ea-cb56ff2a9823,bash
collection,T1113,Screen Capture,3,X Windows Capture,4e72ce4d-08df-46cd-92bf-6bce0dd3fa67,bash
collection,T1113,Screen Capture,4,Import,14607672-7537-4006-9715-00ac1a4ad173,bash
exfiltration,T1002,Data Compressed,3,Data Compressed - nix - zip,7b334f44-3e21-4e5d-a9ab-5d9259a6cb74,sh
exfiltration,T1002,Data Compressed,4,Data Compressed - nix - gzip Single File,129422f4-cf41-4df0-a99c-7b80d52e0304,sh
exfiltration,T1002,Data Compressed,5,Data Compressed - nix - tar Folder or File,b3df11fd-dad3-48c7-b03a-355dd5110626,sh
exfiltration,T1022,Data Encrypted,1,Data Encrypted with zip and gpg symmetric,3d30e9ee-c8d2-41e9-948e-54cad01f5110,sh
exfiltration,T1030,Data Transfer Size Limits,1,Data Transfer Size Limits,ada6b7c7-abd8-4552-a2ca-a4c7affadae4,sh
exfiltration,T1048,Exfiltration Over Alternative Protocol,1,Exfiltration Over Alternative Protocol - SSH,488a0854-54b5-46c5-b8ed-479779ea6c9b,sh
exfiltration,T1048,Exfiltration Over Alternative Protocol,2,Exfiltration Over Alternative Protocol - SSH,519bbdc3-26f1-4d0f-9af3-771118a6dd1f,sh
exfiltration,T1048,Exfiltration Over Alternative Protocol,3,Exfiltration Over Alternative Protocol - HTTP,4d99db7f-e4c3-4b2a-817c-4091da56df29,manual
exfiltration,T1048,Exfiltration Over Alternative Protocol,5,Exfiltration Over Alternative Protocol - DNS,0f8af4e9-fa01-4e3c-bf45-8311a7004c5c,manual
execution,T1059,Command-Line Interface,1,Command-Line Interface,3ca978e6-45d9-42f6-8f5e-9e7a619df9c8,sh
execution,T1168,Local Job Scheduling,1,Cron - Replace crontab with referenced file,ceec02d0-1319-4803-abfd-8365aab3657d,bash
execution,T1168,Local Job Scheduling,2,Cron - Add script to cron folder,ce78ee97-c5c5-4202-9138-44a8cbbcee06,bash
execution,T1168,Local Job Scheduling,3,Event Monitor Daemon Persistence,79b65197-d7bd-4e79-befb-c6809940a687,manual
execution,T1064,Scripting,1,Create and Execute Bash Shell Script,35195b07-f118-4dfb-baf3-55f811182811,sh
execution,T1153,Source,1,Execute Script using Source,9b9270b2-30de-4675-a69c-8ffb833f11b4,sh
execution,T1153,Source,2,Execute Script using Source Alias,d1a6157a-a5a1-4ce2-9bbe-70f0bdd276b0,sh
execution,T1154,Trap,1,Trap,23e7523f-c9e4-42e9-a87f-1cd4182f3c1b,sh
command-and-control,T1090,Connection Proxy,1,Connection Proxy,fff549e2-d6c9-4a9f-9a1e-06e5008bc34e,sh
command-and-control,T1132,Data Encoding,1,Base64 Encoded data.,7067601a-7204-490f-b26b-c885bd21c6e2,sh
command-and-control,T1105,Remote File Copy,1,rsync remote file copy (push),5f354c24-41dd-4bb0-81dd-50b2063f600f,bash
command-and-control,T1105,Remote File Copy,2,rsync remote file copy (pull),98a00afe-cbf1-4f1b-94d5-c278365fa5eb,bash
command-and-control,T1105,Remote File Copy,3,scp remote file copy (push),b482f00e-8fec-4c63-a966-f3ccbbd4484a,bash
command-and-control,T1105,Remote File Copy,4,scp remote file copy (pull),236e8b07-ba27-4ce2-bccb-61a8f03de0da,bash
command-and-control,T1105,Remote File Copy,5,sftp remote file copy (push),46d0bb1b-8962-490e-b1c9-93de0161a643,bash
command-and-control,T1105,Remote File Copy,6,sftp remote file copy (pull),3ff16771-cdd1-4c3d-962f-2727d99c7746,bash
command-and-control,T1071,Standard Application Layer Protocol,3,Malicious User Agents - Nix,ea46f4c3-2c09-4b25-8fc7-a247d3d938c2,sh
command-and-control,T1065,Uncommonly Used Port,2,Testing usage of uncommonly used port,6d4f0155-6495-4b38-89db-6961c69c5ddc,sh
privilege-escalation,T1055,Process Injection,2,Shared Library Injection via /etc/ld.so.preload,30d797f6-0297-450a-91af-77306c984587,bash
privilege-escalation,T1055,Process Injection,3,Shared Library Injection via LD_PRELOAD,61264175-b1aa-4696-b7ba-5eb68ff87304,bash
privilege-escalation,T1166,Setuid and Setgid,1,Make and modify binary from C source,560b64d9-ec12-4f3f-b153-bf8d704318e5,sh
privilege-escalation,T1166,Setuid and Setgid,2,Set a SetUID flag on file,d118c39d-487e-41d8-a8aa-dd1ac6cce31c,sh
privilege-escalation,T1166,Setuid and Setgid,3,Set a SetGID flag on file,75abaa14-102a-45c4-9673-8d8ac09d403f,sh
privilege-escalation,T1169,Sudo,1,Sudo usage,6ddb0a50-7ee9-48e8-864e-7e86ae8c2a2c,sh
privilege-escalation,T1206,Sudo Caching,1,Unlimited sudo cache timeout,6ad573ab-1e76-4236-be2b-56975ad8c66e,sh
privilege-escalation,T1206,Sudo Caching,2,Disable tty_tickets for sudo caching,6492d060-2715-4253-8f93-a539c92653ed,sh
