Tactic,Technique #,Technique Name,Test #,Test Name,Test GUID
exfiltration,T1030,Data Transfer Size Limits,1,Data Transfer Size Limits,ada6b7c7-abd8-4552-a2ca-a4c7affadae4
exfiltration,T1048,Exfiltration Over Alternative Protocol,1,Exfiltration Over Alternative Protocol - SSH,488a0854-54b5-46c5-b8ed-479779ea6c9b
exfiltration,T1048,Exfiltration Over Alternative Protocol,2,Exfiltration Over Alternative Protocol - SSH,519bbdc3-26f1-4d0f-9af3-771118a6dd1f
exfiltration,T1048,Exfiltration Over Alternative Protocol,3,Exfiltration Over Alternative Protocol - HTTP,4d99db7f-e4c3-4b2a-817c-4091da56df29
credential-access,T1139,Bash History,1,Search Through Bash History,71025b6e-c685-42f9-8de0-fceb724e56a9
credential-access,T1081,Credentials in Files,1,Extract Browser and System credentials with LaZagne,d3710d14-9b93-4e9d-9dd5-918617917659
credential-access,T1081,Credentials in Files,2,Extract passwords with grep,48082ea4-9366-4e61-9c52-8e63ed3ab50c
credential-access,T1141,Input Prompt,1,AppleScript - Prompt User for Password,b821f3b2-88fa-421a-b652-85511a40b063
credential-access,T1142,Keychain,1,Keychain,4e38a89f-caa3-4029-b90b-28c4d57f8147
credential-access,T1040,Network Sniffing,2,Packet Capture macOS,d21660c1-75d5-49dd-840d-66da344205bc
credential-access,T1145,Private Keys,2,Discover Private SSH Keys,a3a52593-6b0a-4914-9a76-2c4a65f4a873
credential-access,T1145,Private Keys,4,Copy Private SSH Keys with rsync,71e16dd8-4c95-4370-8f8f-8c2ea9beedeb
defense-evasion,T1009,Binary Padding,1,Pad Binary to Change Hash - Linux/macOS dd,0066e889-00a2-43fe-9be7-d0c1e85d5962
defense-evasion,T1146,Clear Command History,1,Clear Bash history (rm),d7a68489-9b17-4f03-b70c-8c4851718e39
defense-evasion,T1146,Clear Command History,2,Clear Bash history (echo),8ea12ac8-a48d-494b-ac05-4245e0115da0
defense-evasion,T1146,Clear Command History,3,Clear Bash history (cat dev/null),a92d4f35-01e7-4b1b-95a6-727ba3e5b53d
defense-evasion,T1146,Clear Command History,4,Clear Bash history (ln dev/null),65e8caa0-cc76-450a-929c-9a89ff16942b
defense-evasion,T1146,Clear Command History,6,Clear history of a bunch of shells,28e4676f-3062-4449-8bf6-25c668d51205
defense-evasion,T1090,Connection Proxy,1,Connection Proxy,fff549e2-d6c9-4a9f-9a1e-06e5008bc34e
defense-evasion,T1089,Disabling Security Tools,6,Disable Carbon Black Response,c8c68e80-4559-4b98-8513-fb6900c63d55
defense-evasion,T1089,Disabling Security Tools,7,Disable LittleSnitch,61a766ce-8f68-4367-81c1-6ad95cda867b
defense-evasion,T1089,Disabling Security Tools,8,Disable OpenDNS Umbrella,d5fd958c-3236-41f0-8769-e137717a7f13
defense-evasion,T1089,Disabling Security Tools,9,Stop and unload Crowdstrike Falcon on macOS,de3e5ad2-e734-4003-af87-7af5bee0d363
defense-evasion,T1107,File Deletion,1,Delete a single file - Linux/macOS,882269ea-8683-4902-837a-3a19d657e9cc
defense-evasion,T1107,File Deletion,2,Delete an entire folder - Linux/macOS,1519522d-c28b-432e-953b-2bc196830476
defense-evasion,T1222,File and Directory Permissions Modification,4,chmod - Change file or folder mode (numeric mode),4d12f4c8-4e28-4e88-9e81-2d836220903a
defense-evasion,T1222,File and Directory Permissions Modification,5,chmod - Change file or folder mode (symbolic mode),5034b422-2dbf-4bc8-9fc9-8e1140ba8610
defense-evasion,T1222,File and Directory Permissions Modification,6,chmod - Change file or folder mode (numeric mode) recursively,9c3c91b7-01be-4d25-926c-4161fac0b616
defense-evasion,T1222,File and Directory Permissions Modification,7,chmod - Change file or folder mode (symbolic mode) recursively,4852ff24-e779-4f45-88ea-6f649ebcd8f3
defense-evasion,T1222,File and Directory Permissions Modification,8,chown - Change file or folder ownership and group,2da3b4fd-f48d-467f-b26a-2a096d8d5486
defense-evasion,T1222,File and Directory Permissions Modification,9,chown - Change file or folder ownership and group recursively,faa41721-e7e9-450e-bfb9-52c0361e59bf
defense-evasion,T1222,File and Directory Permissions Modification,10,chown - Change file or folder mode ownership only,4b4a1928-e386-4612-9a22-40c87636449b
defense-evasion,T1222,File and Directory Permissions Modification,11,chown - Change file or folder ownership recursively,1e2a577a-a41b-4f70-8985-e1a8e5b65b23
defense-evasion,T1222,File and Directory Permissions Modification,12,chattr - Remove immutable file attribute,0b2c20a6-d510-411c-b1c3-45699e4c07ac
defense-evasion,T1144,Gatekeeper Bypass,1,Gatekeeper Bypass,218ebeb0-62e9-4590-8984-d9b28b9f2739
defense-evasion,T1148,HISTCONTROL,1,Disable history collection,f56c2cae-a908-4a32-8e39-cd90f53739da
defense-evasion,T1148,HISTCONTROL,2,Mac HISTCONTROL,190b9165-b1fe-42b4-ae55-0710e0aebf94
defense-evasion,T1158,Hidden Files and Directories,1,Create a hidden file in a hidden directory,252ebeb8-09d5-4278-9c8b-8bf1893ee432
defense-evasion,T1158,Hidden Files and Directories,2,Mac Hidden file,a5ef5d24-8190-4ad9-a852-a814cfb11cfc
defense-evasion,T1158,Hidden Files and Directories,5,Hidden files,454a5761-593e-4611-9a3e-df721986d4ab
defense-evasion,T1158,Hidden Files and Directories,6,Hide a Directory,581aae0c-c30a-4ce1-989a-e69cc61a086f
defense-evasion,T1158,Hidden Files and Directories,7,Show all hidden files,86a993ca-d357-48d4-9e81-b417676d6632
defense-evasion,T1147,Hidden Users,1,Hidden Users,844edd23-660e-41e3-9a13-8d68e25ef23a
defense-evasion,T1070,Indicator Removal on Host,3,rm -rf,f0ffab8b-4203-4c51-9227-8dce3c0a843a
defense-evasion,T1130,Install Root Certificate,3,Install root CA on macOS,8f677759-23f9-464a-a281-2e0b56429e26
defense-evasion,T1152,Launchctl,1,Launchctl,b26babc7-c5f5-4f7f-8de6-4133eb02d469
defense-evasion,T1027,Obfuscated Files or Information,1,Decode base64 Data into Script,440c8dfd-7eda-4735-a454-679660cf49ab
defense-evasion,T1150,Plist Modification,1,Plist Modification,111da2da-433b-4c39-86e6-27aa53cc0cd2
defense-evasion,T1064,Scripting,1,Create and Execute Bash Shell Script,35195b07-f118-4dfb-baf3-55f811182811
defense-evasion,T1045,Software Packing,3,Binary simply packed by UPX,5a154014-8217-44d6-9a21-6c8d6aa05252
defense-evasion,T1045,Software Packing,4,"Binary packed by UPX, with modified headers",024151a7-ddf9-4b90-a37b-5cdf3d846f61
defense-evasion,T1151,Space after Filename,1,Space After Filename,f60c69b0-ebde-4937-8412-ee880c4003b8
defense-evasion,T1099,Timestomp,1,Set a file's access timestamp,532263e3-d39b-4fc8-bfc6-63cfd0f4bfa0
defense-evasion,T1099,Timestomp,2,Set a file's modification timestamp,53811a38-fcce-4faf-b198-5b02d20870c7
defense-evasion,T1099,Timestomp,3,Set a file's creation timestamp,d19a37e0-df36-4625-a2eb-97753584ba06
defense-evasion,T1099,Timestomp,4,Modify file timestamps using reference file,da6425e3-4ed6-452f-8b85-4cef2a37633c
command-and-control,T1090,Connection Proxy,1,Connection Proxy,fff549e2-d6c9-4a9f-9a1e-06e5008bc34e
command-and-control,T1132,Data Encoding,1,Base64 Encoded data.,7067601a-7204-490f-b26b-c885bd21c6e2
command-and-control,T1105,Remote File Copy,1,rsync remote file copy (push),5f354c24-41dd-4bb0-81dd-50b2063f600f
command-and-control,T1105,Remote File Copy,2,rsync remote file copy (pull),98a00afe-cbf1-4f1b-94d5-c278365fa5eb
command-and-control,T1105,Remote File Copy,3,scp remote file copy (push),b482f00e-8fec-4c63-a966-f3ccbbd4484a
command-and-control,T1105,Remote File Copy,4,scp remote file copy (pull),236e8b07-ba27-4ce2-bccb-61a8f03de0da
command-and-control,T1105,Remote File Copy,5,sftp remote file copy (push),46d0bb1b-8962-490e-b1c9-93de0161a643
command-and-control,T1105,Remote File Copy,6,sftp remote file copy (pull),3ff16771-cdd1-4c3d-962f-2727d99c7746
command-and-control,T1071,Standard Application Layer Protocol,3,Malicious User Agents - Nix,ea46f4c3-2c09-4b25-8fc7-a247d3d938c2
command-and-control,T1065,Uncommonly Used Port,2,Testing usage of uncommonly used port,6d4f0155-6495-4b38-89db-6961c69c5ddc
privilege-escalation,T1519,Emond,1,Persistance with Event Monitor - emond,ee46862e-bd6f-4ade-8371-2cd36fecb73c
privilege-escalation,T1160,Launch Daemon,1,Launch Daemon,085d9e0e-e9b4-4ccc-8f32-81f77979835e
privilege-escalation,T1150,Plist Modification,1,Plist Modification,111da2da-433b-4c39-86e6-27aa53cc0cd2
privilege-escalation,T1166,Setuid and Setgid,1,Make and modify binary from C source,560b64d9-ec12-4f3f-b153-bf8d704318e5
privilege-escalation,T1166,Setuid and Setgid,2,Set a SetUID flag on file,d118c39d-487e-41d8-a8aa-dd1ac6cce31c
privilege-escalation,T1166,Setuid and Setgid,3,Set a SetGID flag on file,75abaa14-102a-45c4-9673-8d8ac09d403f
privilege-escalation,T1165,Startup Items,1,add file to Local Library StartupItems,d6460309-a8b5-4111-9976-2f7943c003b9
privilege-escalation,T1169,Sudo,1,Sudo usage,6ddb0a50-7ee9-48e8-864e-7e86ae8c2a2c
privilege-escalation,T1206,Sudo Caching,1,Unlimited sudo cache timeout,6ad573ab-1e76-4236-be2b-56975ad8c66e
privilege-escalation,T1206,Sudo Caching,2,Disable tty_tickets for sudo caching,6492d060-2715-4253-8f93-a539c92653ed
